year,artefacts,,,
2000,100,http://clok.uclan.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=,&keywords_merge=ALL&keywords=&divisions_merge=ANY&groups_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&publisher_merge=ALL&publisher=&id_number=&eprintid=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle,http://clok.uclan.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2000&keywords_merge=ALL&keywords=&divisions_merge=ANY&groups_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&publisher_merge=ALL&publisher=&id_number=&eprintid=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2001,135,,,http://clok.uclan.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2001&keywords_merge=ALL&keywords=&divisions_merge=ANY&groups_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&publisher_merge=ALL&publisher=&id_number=&eprintid=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2002,192,,,http://clok.uclan.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2002&keywords_merge=ALL&keywords=&divisions_merge=ANY&groups_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&publisher_merge=ALL&publisher=&id_number=&eprintid=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2003,197,,,http://clok.uclan.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2003&keywords_merge=ALL&keywords=&divisions_merge=ANY&groups_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&publisher_merge=ALL&publisher=&id_number=&eprintid=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2004,200,,,http://clok.uclan.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2004&keywords_merge=ALL&keywords=&divisions_merge=ANY&groups_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&publisher_merge=ALL&publisher=&id_number=&eprintid=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2005,255,,,http://clok.uclan.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2005&keywords_merge=ALL&keywords=&divisions_merge=ANY&groups_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&publisher_merge=ALL&publisher=&id_number=&eprintid=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2006,307,,,http://clok.uclan.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2006&keywords_merge=ALL&keywords=&divisions_merge=ANY&groups_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&publisher_merge=ALL&publisher=&id_number=&eprintid=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2007,328,,,http://clok.uclan.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2007&keywords_merge=ALL&keywords=&divisions_merge=ANY&groups_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&publisher_merge=ALL&publisher=&id_number=&eprintid=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2008,471,,,http://clok.uclan.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2008&keywords_merge=ALL&keywords=&divisions_merge=ANY&groups_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&publisher_merge=ALL&publisher=&id_number=&eprintid=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2009,532,,,http://clok.uclan.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2009&keywords_merge=ALL&keywords=&divisions_merge=ANY&groups_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&refereed=EITHER&publication_merge=ALL&publication=&publisher_merge=ALL&publisher=&id_number=&eprintid=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
