year,artefacts,,,
2000,176,http://create.canterbury.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=,&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&publication_merge=ALL&publication=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle,http://create.canterbury.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2000&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&publication_merge=ALL&publication=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2001,144,,,http://create.canterbury.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2001&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&publication_merge=ALL&publication=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2002,175,,,http://create.canterbury.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2002&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&publication_merge=ALL&publication=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2003,217,,,http://create.canterbury.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2003&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&publication_merge=ALL&publication=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2004,206,,,http://create.canterbury.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2004&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&publication_merge=ALL&publication=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2005,250,,,http://create.canterbury.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2005&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&publication_merge=ALL&publication=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2006,246,,,http://create.canterbury.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2006&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&publication_merge=ALL&publication=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2007,417,,,http://create.canterbury.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2007&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&publication_merge=ALL&publication=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2008,446,,,http://create.canterbury.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2008&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&publication_merge=ALL&publication=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
2009,604,,,http://create.canterbury.ac.uk/cgi/search/archive/advanced?screen=Search&dataset=archive&_action_search=Search&documents_merge=ALL&documents=&title_merge=ALL&title=&creators_name_merge=ALL&creators_name=&abstract_merge=ALL&abstract=&date=2009&keywords_merge=ALL&keywords=&divisions_merge=ANY&subjects_merge=ANY&type=article&type=conference_item&editors_name_merge=ALL&editors_name=&publication_merge=ALL&publication=&datestamp=&satisfyall=ALL&order=-date%2Fcreators_name%2Ftitle
