year,artefacts
2000,711
2001,883
2002,908
2003,1044
2004,1297
2005,1549
2006,2091
2007,2334
2008,2477
2009,2477
2010,2665
2011,2785
2012,2779
2013,2540
2014,2345
2015,2244
2016,1761
2017,1505
