year,artefacts
2000,29
2001,41
2002,45
2003,39
2004,74
2005,86
2006,136
2007,153
2008,140
2009,156
2010,213
2011,261
2012,442
2013,721
2014,1542
2015,1861
2016,3293
2017,3400
