date_year,N
2000,420
2001,618
2002,706
2003,929
2004,1168
2005,1455
2006,1624
2007,2137
2008,3072
2009,3550
2010,4231
2011,4503
2012,5249
2013,6941
2014,10843
2015,13696
2016,15873
2017,18028
2018,18148
2019,17110
2020,16510
2021,15080
2022,4490
