date_year,spss_found,visualisation_found,nvivo_found,RColorBrewer_found,quantitative_found,computation_found,computational_found,database_found,modeling_found,ggplot2_found,stata_found,software_found,statistical_found,computing_found,algorithm_found,visualization_found,matlab_found,supercomputing_found,workflow_found,fortran_found,modelling_found,github_found,simulation_found,hpc_found,simulated_found,computed_found,gis_found,graphics_found,imagej_found,python_found,open-source_found,computer_found,git_found,scrapy_found,matplotlib_found,wxpython_found,supercomputer_found,numpy_found,scipy_found,Rcpp_found,reshape2_found,plyr_found,stringr_found,beautifulsoup_found,sqlalchemy_found
2000,10,24,0,0,129,63,66,69,62,0,3,117,152,91,86,18,8,1,3,5,112,0,114,1,68,76,7,53,0,0,253,187,0,0,0,0,6,0,0,0,0,0,0,0,0
2001,9,9,0,0,145,91,87,90,63,0,3,157,203,108,119,8,3,7,3,3,129,0,163,1,81,116,6,52,1,1,378,224,0,0,0,0,6,0,0,0,0,0,0,0,0
2002,8,19,1,0,189,92,90,119,91,0,6,189,248,139,113,22,12,2,11,4,144,0,155,1,82,119,8,73,0,2,434,254,0,0,0,0,6,0,0,0,0,0,0,0,0
2003,11,21,0,0,212,137,130,175,110,0,4,251,321,163,170,34,10,3,14,8,204,0,238,0,123,159,7,84,0,3,552,324,2,0,0,0,9,0,0,0,0,0,0,0,0
2004,12,25,6,0,278,143,172,197,156,0,10,319,388,205,206,29,13,2,12,10,242,0,304,1,160,185,3,99,1,5,691,408,2,0,0,0,5,1,0,0,0,0,0,0,0
2005,17,42,10,0,357,223,224,336,227,0,12,442,515,267,287,57,27,5,19,9,312,0,388,2,209,228,9,126,3,4,896,560,6,0,0,0,9,0,0,0,0,0,0,0,0
2006,26,40,6,0,422,238,259,347,268,0,17,469,611,305,305,72,40,9,22,18,364,0,415,3,228,293,16,142,8,9,948,562,3,0,0,0,15,1,1,0,0,0,0,0,0
2007,20,70,17,0,595,280,363,462,339,0,37,662,852,380,422,99,48,5,25,14,506,0,579,4,340,357,11,200,6,7,1282,768,3,0,0,0,16,0,0,0,0,0,0,0,0
2008,29,79,23,0,810,452,527,657,549,0,34,940,1175,564,670,123,85,9,30,21,737,0,848,5,449,552,21,258,16,10,1883,1063,2,0,0,0,15,0,2,0,0,0,0,0,0
2009,33,83,29,0,928,532,627,768,647,0,70,1139,1436,680,726,186,106,23,58,14,833,0,889,5,513,603,23,274,30,15,2234,1226,2,0,0,0,21,0,1,0,0,0,0,0,0
2010,72,112,66,0,1253,585,763,985,784,0,75,1412,1705,770,888,228,152,23,44,17,1042,1,1094,2,644,801,31,385,45,31,2723,1413,11,0,1,2,29,1,1,1,0,0,0,0,0
2011,64,143,75,0,1244,637,871,1043,905,0,88,1588,1874,907,1020,235,169,20,62,22,1111,1,1258,6,722,817,39,402,37,34,2927,1601,9,0,0,0,30,0,2,0,0,0,0,0,0
2012,66,138,61,1,1467,755,929,1263,1036,0,113,1761,2236,1006,1188,301,167,23,52,12,1271,6,1443,7,832,992,19,417,85,42,3497,1696,10,0,0,0,23,0,2,0,0,0,0,0,1
2013,92,207,99,0,1925,910,1314,1717,1436,6,186,2374,3009,1421,1594,391,250,30,87,24,1736,30,1995,12,1186,1274,44,562,91,70,4568,2271,15,0,3,0,47,1,6,0,0,0,0,0,0
2014,207,318,189,0,3062,1455,1943,2615,2267,7,282,3842,4624,2190,2493,593,424,52,137,45,2752,73,2951,31,1835,1977,77,861,187,121,7038,3411,15,0,5,0,60,5,10,2,0,2,0,0,0
2015,447,442,283,0,3913,1755,2507,3541,2848,18,405,4854,5739,2733,3097,721,566,96,227,47,3608,154,3708,52,2259,2480,135,1081,258,222,8947,4194,29,0,6,0,86,12,18,1,0,0,1,0,0
2016,570,520,361,0,4594,2026,2814,4054,3247,17,462,5824,6886,3156,3665,875,703,157,270,66,4236,280,4231,74,2610,2834,164,1286,276,357,10718,4747,28,0,16,0,103,16,31,1,2,2,1,0,0
2017,673,677,442,1,5293,2283,3292,4649,3802,46,534,6834,7818,3562,4324,1260,769,162,399,59,4884,540,4976,85,2963,3245,199,1416,379,448,12299,5371,40,0,36,0,96,34,49,2,1,1,0,0,1
2018,598,673,516,1,5277,2345,3267,4862,3986,56,628,6825,7987,3771,4457,1268,747,155,408,70,4909,696,5043,64,3003,3267,182,1503,364,562,12632,5306,49,0,53,0,114,56,86,5,2,2,1,1,0
2019,211,682,548,2,5022,2085,3128,4813,3724,67,556,6504,7424,3557,4197,1263,587,141,474,67,4719,820,4745,29,2817,3062,84,1371,300,567,11928,5148,69,0,63,0,107,67,107,4,3,4,3,1,0
2020,113,737,624,5,5029,1937,3131,4816,3614,80,466,6490,7226,3538,4150,1527,520,131,496,40,4708,1008,4451,23,2577,2934,71,1404,305,600,11652,5066,63,2,74,0,109,68,93,3,3,3,7,1,1
2021,113,685,629,2,4738,1715,2770,4551,3411,116,562,6071,6802,3192,3686,1646,403,117,531,40,4159,1018,3965,24,2403,2610,66,1300,275,660,10632,4332,80,1,73,0,71,79,97,2,3,2,5,1,0
2022,14,230,194,3,1417,538,854,1424,1041,32,155,1826,2036,999,1123,497,112,45,152,7,1268,341,1162,12,695,793,22,358,72,229,3159,1300,31,1,21,0,28,30,38,1,0,3,4,1,0
