,count,total_count,percentage
2000,629,9897,6.4
2001,960,14152,6.8
2002,1153,15409,7.5
2003,1471,17104,8.6
2004,1921,18997,10.1
2005,2392,20272,11.8
2006,2796,22586,12.4
2007,3485,24646,14.1
2008,4875,27952,17.4
2009,5359,29360,18.3
2010,6271,30061,20.9
2011,6750,30007,22.5
2012,7838,30059,26.1
2013,10323,32403,31.9
2014,15155,36546,41.5
2015,19706,39761,49.6
2016,25877,45539,56.8
2017,28969,44742,64.7
